edge_id:int,source_id:int,target_id:int,label_id:int
1381022,525265,9855,48
1574061,525268,257,48
1574062,525268,34420,49
1382329,525785,257,48
1382330,525785,52747,49
9220703,525786,257,48
9220705,525786,52747,49
9220704,525786,9855,48
1533941,530551,257,48
1533942,530551,258,49
1398906,531934,257,48
1398907,531934,2193,49
1398908,531934,5445,49
1409159,535324,257,48
1409160,535324,9854,49
3920944,535797,257,48
3920945,535797,258,49
1416431,537793,56958,48
5504669,538125,257,48
5504670,538125,258,49
1437292,544553,2634,48
1438417,544851,2632,49
1438421,544851,2634,48
2121071,544852,2632,49
2121074,544852,2634,48
1473260,554853,46509,48
12018384,554854,46509,48
1486901,559767,257,48
1486902,559767,258,49
1891988,561198,257,48
1891989,561198,258,49
1493149,561717,257,48
1493150,561717,258,49
1519032,570508,257,48
1519033,570508,258,49
2613855,570509,257,48
2613856,570509,258,49
8784852,572969,46509,48
1527727,573161,14600,49
1531398,574372,2634,48
1531399,574372,2872,49
1531396,574372,2871,49
1557814,582881,6526,48
1557815,582881,6527,49
1564040,585250,257,48
1564041,585250,34420,49
1787749,585253,257,48
1787750,585253,34420,49
1574194,588453,257,48
1574195,588453,258,49
1574250,588468,2634,48
9538320,589559,46509,48
13170343,589560,46509,48
1593302,594815,257,48
1593303,594815,2193,49
1593304,594815,5445,49
1594732,595354,15195,49
1594731,595354,6526,48
1605889,595355,15195,49
1605888,595355,6526,48
1604747,598724,257,48
1604748,598724,258,49
1605849,599044,15195,49
1605848,599044,6526,48
1605886,599054,15195,49
1605885,599054,6526,48
1605987,599085,15195,49
1605986,599085,6526,48
1606702,599255,257,48
1606703,599255,258,49
1606709,599256,15195,49
1606708,599256,6526,48
1606712,599257,257,48
1606713,599257,258,49
1606925,599319,15195,49
1606924,599319,6526,48
1607045,599361,15195,49
1607044,599361,6526,48
1610624,600633,949,48
1611865,601070,257,48
1611866,601070,258,49
6914953,602884,257,48
6914954,602884,258,49
1669783,620353,257,48
1669784,620353,52747,49
12448387,620354,257,48
12448389,620354,52747,49
12448388,620354,9855,48
4540282,620355,257,48
4540284,620355,52747,49
4540283,620355,9855,48
7512808,620356,257,48
7512809,620356,52747,49
