type,x_id,x_attr,y_id,y_attr,edge_label,c,gar_id
Edge,3,,0,,49,,773
Edge,2,,0,,49,,774
Edge,2,,0,,49,,775
Edge,2,,0,,49,,776
Edge,2,,0,,49,,777
Edge,2,,0,,49,,778
Edge,2,,0,,49,,779
Edge,2,,0,,49,,780
Edge,2,,0,,49,,781
Edge,2,,0,,49,,782
Edge,2,,0,,49,,783
Edge,2,,4,,48,,784
Edge,2,,4,,48,,785
Edge,2,,4,,48,,786
Edge,2,,4,,48,,787
Edge,2,,4,,48,,788
Edge,2,,4,,48,,789
Edge,2,,4,,48,,790
Edge,2,,4,,48,,791
Edge,2,,4,,48,,792
Edge,2,,4,,48,,793
Edge,3,,0,,49,,794
Edge,3,,0,,49,,795
Edge,3,,0,,49,,796
Edge,3,,0,,49,,797
Edge,3,,0,,49,,798
Edge,3,,0,,49,,799
Edge,3,,0,,49,,800
Edge,3,,0,,49,,801
Edge,3,,0,,49,,802
Edge,3,,0,,49,,803
Edge,3,,0,,49,,804
Edge,3,,0,,49,,805
Edge,3,,0,,49,,806
Edge,3,,0,,49,,807
Edge,3,,0,,49,,808
Edge,3,,0,,49,,809
Edge,3,,0,,49,,810
Edge,3,,0,,49,,811
Edge,3,,0,,49,,812
Edge,3,,0,,49,,813
Edge,3,,0,,49,,814
Edge,3,,0,,49,,815
Edge,1,,3,,49,,816
Edge,1,,3,,48,,817
Edge,1,,2,,49,,818
Edge,3,,4,,48,,819
Edge,1,,3,,49,,820
Edge,1,,2,,49,,821
Edge,3,,0,,49,,822
Edge,1,,5,,49,,823
Edge,1,,3,,49,,824
Edge,1,,3,,49,,825
Edge,1,,3,,49,,826
Edge,1,,2,,49,,827
Edge,1,,2,,49,,828
Edge,1,,2,,49,,829
Edge,1,,3,,49,,830
Edge,1,,2,,49,,831
Edge,1,,3,,49,,832
Edge,1,,3,,48,,833
Edge,1,,3,,49,,834
Edge,1,,2,,49,,835
Edge,1,,3,,49,,836
Edge,1,,3,,49,,837
Edge,1,,3,,49,,838
Edge,1,,2,,49,,839
Edge,1,,4,,48,,840
Edge,1,,3,,49,,841
Edge,1,,2,,49,,842
Edge,1,,3,,49,,843
Edge,1,,2,,49,,844
Edge,1,,3,,48,,845
Edge,1,,5,,49,,846
Edge,1,,3,,48,,847
Edge,1,,3,,49,,848
Edge,1,,3,,49,,849
Edge,2,,3,,49,,850
Edge,1,,3,,48,,851
Edge,1,,3,,48,,852
Edge,1,,3,,49,,853
Edge,1,,2,,49,,854
Edge,1,,2,,49,,855
Edge,1,,3,,48,,856
Edge,1,,3,,49,,857
Edge,2,,3,,49,,858
Edge,1,,3,,48,,859
Edge,1,,3,,48,,860
Edge,1,,3,,48,,861
Edge,1,,3,,48,,862
Edge,1,,3,,48,,863
Edge,1,,3,,48,,864
Edge,1,,3,,48,,865
Edge,3,,4,,48,,866
Edge,3,,4,,48,,867
Edge,3,,4,,48,,868
Edge,3,,4,,48,,869
Edge,3,,4,,48,,870
Edge,3,,4,,48,,871
Edge,2,,0,,49,,872
Edge,2,,0,,49,,873
Edge,2,,0,,49,,874
Edge,2,,0,,49,,875
Edge,2,,0,,49,,876
Edge,2,,0,,49,,877
Edge,2,,0,,49,,878
Edge,2,,0,,49,,879
Edge,2,,0,,49,,880
Edge,3,,4,,48,,881
Edge,3,,4,,48,,882
Edge,3,,4,,48,,883
Edge,3,,4,,48,,884
Edge,3,,4,,48,,885
Edge,3,,4,,48,,886
Edge,3,,4,,48,,887
Edge,3,,4,,48,,888
Edge,1,,3,,48,,889
Edge,5,,0,,49,,890
Edge,5,,0,,49,,891
Edge,5,,0,,49,,892
Edge,5,,0,,49,,893
Edge,5,,0,,49,,894
Edge,5,,0,,49,,895
Edge,5,,0,,49,,896
Edge,5,,0,,49,,897
Edge,5,,0,,49,,898
Edge,2,,0,,49,,899
Edge,2,,0,,49,,900
Edge,2,,0,,49,,901
Edge,2,,0,,49,,902
Edge,2,,0,,49,,903
Edge,2,,0,,49,,904
Edge,2,,0,,49,,905
Edge,2,,0,,49,,906
Edge,2,,0,,49,,907
Edge,2,,0,,49,,908
Edge,2,,0,,49,,909
Edge,2,,0,,49,,910
Edge,2,,0,,49,,911
Edge,2,,0,,49,,912
Edge,2,,0,,49,,913
Edge,2,,0,,49,,914
Edge,2,,0,,49,,915
Edge,3,,4,,48,,916
Edge,2,,0,,49,,917
Edge,2,,0,,49,,918
Edge,2,,0,,49,,919
