edge_id:int,source_id:int,target_id:int,label_id:int,inc_state:int
7512808,620356,257,48,1
7512809,620356,52747,49,1
1671790,620990,949,48,1
1688166,626487,56958,48,1
1688167,626487,2632,49,1
1708073,633118,949,48,1
1713065,634621,257,48,1
1713066,634621,9854,49,1
1731612,640634,949,48,1
1741689,643827,257,48,1
1741690,643827,65859,49,1
2138070,643828,257,48,1
2138071,643828,65859,49,1
1752970,647675,257,48,1
1752971,647675,258,49,1
1760926,650284,949,48,1
1787830,659246,257,48,1
1787831,659246,34420,49,1
1798227,662328,56958,48,1
1798233,662328,2872,49,1
1798228,662328,662329,49,1
17425118,662329,56958,48,1
17425119,662329,2872,49,1
13277246,662330,56958,48,1
13277249,662330,2872,49,1
13277248,662330,662329,49,1
13277247,662330,875293,49,1
14886817,662332,56958,48,1
14886818,662332,662329,49,0
14886821,662332,2872,49,1
1798433,662333,56958,48,2
1798434,662333,662329,49,1
1798438,662333,2872,49,1
1801215,663338,949,48,1
6386108,663339,949,48,1
